seed,planner,closed_loop_steps,closed_loop_return
0,best_of_n,5,2.819844199966148
0,cem,5,-3.85592523482098
0,cem_combined_repair,5,4.354741279934975
1,best_of_n,5,-2.3837405181986897
1,cem,5,-4.159919373466906
1,cem_combined_repair,5,4.159616697343585
2,best_of_n,5,3.2680549927686156
2,cem,5,-3.59652542556994
2,cem_combined_repair,5,3.8377379514132546
3,best_of_n,5,3.3751007642887974
3,cem,5,-3.7878814542333705
3,cem_combined_repair,5,3.972808336842548
4,best_of_n,5,-3.146844059554224
4,cem,5,-3.6085584496693173
4,cem_combined_repair,5,4.180068810689129
5,best_of_n,5,-2.2672562608335918
5,cem,5,3.9026687622329375
5,cem_combined_repair,5,3.5973521892418088
6,best_of_n,5,2.7661993481059484
6,cem,5,-3.7157244569711785
6,cem_combined_repair,5,3.794472523156643
7,best_of_n,5,-2.664428463086851
7,cem,5,3.6429033982647763
7,cem_combined_repair,5,3.5413254975657686
8,best_of_n,5,2.474571021735011
8,cem,5,-3.8523511509815775
8,cem_combined_repair,5,4.130630655392099
9,best_of_n,5,3.6290021293768486
9,cem,5,-3.777064202884976
9,cem_combined_repair,5,4.034518573765659
10,best_of_n,5,2.3438703142229214
10,cem,5,-3.940385641911548
10,cem_combined_repair,5,3.6394720464419437
11,best_of_n,5,-3.1916712373962706
11,cem,5,-3.872319382130091
11,cem_combined_repair,5,4.0769059100058085
