planner,label,regret,true_return,tail_gap
cem_pilot_calibrated,pilot calibrated,0.2171658112041459,7.58970805113956,6.012153737818456e-12
cem_veto,disagreement veto,0.22910666170427385,7.577767200639432,5.6642838567692406e-12
cem_uncertainty,uncertainty CEM,0.29596765881703896,7.510906203526666,8.452571975681167e-12
cem_combined_repair,combined repair,0.7695426315035311,7.0373312308401745,1.1080751131468484e-10
cem_conservative,conservative CEM,2.5729145047804804,5.233959357563225,0.9035534094878974
cem_shadow,shadow realism,5.168803374716798,2.6380704876269077,4.476944705218231
static_proposal,static proposal,6.155914889904781,1.6509589724389249,3.780788427012581
static_equal_budget,equal-budget static,7.986913444962592,-0.18003958261888642,6.051732283847397
random_shooting,random shooting,9.63725959601395,-1.8303857336702436,7.235679605599999
cem,vanilla CEM,11.643942403147426,-3.837068540803718,11.068098573361846
cem_diversity,diversity floor,13.308329906586394,-5.501456044242688,12.565571447109456
